what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1453831870598
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1453831870599
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1453831870599
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1453831870600
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1453831870600
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1453831870601
started,bundle,org.eclipse.equinox.preferences,3.4.1.R37x_v20110725,"org.eclipse.equinox.preferences",1453831870601
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1453831870601
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1453831870602
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1453831870602
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1453831870602
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1453831870603
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1453831870603
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1453831870605
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1453831870605
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1453831870605
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1453831870606
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1453831870606
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1453831870607
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1453831870607
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1453831870607
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1453831870608
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1453831870608
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1453831870608
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1453831870609
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1453831870609
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1453831870610
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1453831870610
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1453831870610
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1453831870611
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1453831870612
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1453831870612
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1453831870613
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1453831870613
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1453831870614
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1453831870614
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1453831870615
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1453831870615
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1453831870615
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1453831870616
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1453831870616
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1453831870617
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1453831870618
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1453831870618
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1453831870619
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1453831870619
os,sysinfo,,,"macosx",1453831870621
arch,sysinfo,,,"x86_64",1453831870621
ws,sysinfo,,,"cocoa",1453831870621
locale,sysinfo,,,"en_US",1453831870621
processors,sysinfo,,,"8",1453831870621
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1453831870621
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1453831870621
java.specification.name,sysinfo,,,"Java Platform API Specification",1453831870621
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1453831870621
java.specification.version,sysinfo,,,"1.6",1453831870621
java.vendor,sysinfo,,,"Apple Inc.",1453831870621
java.version,sysinfo,,,"1.6.0_65",1453831870621
java.vm.info,sysinfo,,,"mixed mode",1453831870621
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1453831870621
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1453831870621
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1453831870621
java.vm.specification.version,sysinfo,,,"1.0",1453831870622
java.vm.vendor,sysinfo,,,"Apple Inc.",1453831870622
java.vm.version,sysinfo,,,"20.65-b04-462",1453831870622
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1453831870625
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1453831874221
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1453831874235
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20110509,"org.eclipse.jdt.launching.macosx",1453831874241
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453831875919
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1453831880048
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1453831880461
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1453831880466
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453831880603
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1453831880875
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1453831880902
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1453831880939
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1453831882715
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1453831882717
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1453831883113
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1453831883124
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453831885944
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453831890315
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453831894292
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1453831908712
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1453831908901
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1453831908916
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453831909571
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1453831910096
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1453831910196
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1453831910608
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453831911686
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453831935314
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1453831935830
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1453831936231
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1453831937903
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1453831967635
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453831970940
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453831974215
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453831978162
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453831981413
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453831986057
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453832002389
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1453832002521
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1453832002592
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453832004206
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453832009720
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1453832010864
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453832013388
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453832014684
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453832018382
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453832020499
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453832023815
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453832029513
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1453832029657
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1453832029718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453832031895
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453832037217
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1453832038413
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1453832039091
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1453832044135
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1453832045865
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1453832046757
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1453832047393
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453832047948
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1453832062950
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453832063044
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1453832066343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1453832066749
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1453832067183
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1453832068755
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453832076080
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1453832090014
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453832090763
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1453832090811
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1453832101002
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1453832103778
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1453832104807
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1453832104855
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1453832104886
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1453832105121
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1453832105389
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453832108786
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453832129684
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453832133633
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1453832134115
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1453832134116
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1453832134116
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1453832134117
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1453832134118
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1453832134121
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1453832134121
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1453832134121
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1453832134122
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1453832134122
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1453832134123
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1453832134123
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1453832134123
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1453832134124
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1453832134124
stopped,bundle,org.eclipse.help.base,3.6.1.v201109091335,"org.eclipse.help.base",1453832134124
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1453832134125
stopped,bundle,org.eclipse.m2e.core.ui,1.0.100.20110804-1717,"org.eclipse.m2e.core.ui",1453832134126
stopped,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1453832134126
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1453832134127
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1453832134154
stopped,bundle,org.eclipse.ant.launching,1.0.100.v20110506,"org.eclipse.ant.launching",1453832134159
stopped,bundle,org.eclipse.egit.mylyn.ui,1.1.0.201109151100-r,"org.eclipse.egit.mylyn.ui",1453832134167
stopped,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1453832134167
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1453832134181
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1453832134182
